日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241031,1301,極洋,プライム（内国株式）,50,水産・農林業,1,食品,7,TOPIX Small 2
20241031,1305,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,ETF・ETN,-,-,-,-,-,-
20241031,1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1308,上場インデックスファンドＴＯＰＩＸ,ETF・ETN,-,-,-,-,-,-
20241031,1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20241031,1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,131A,ＣＣＮグループ,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20241031,1320,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,ETF・ETN,-,-,-,-,-,-
20241031,1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,ETF・ETN,-,-,-,-,-,-
20241031,1324,ＮＥＸＴ　ＦＵＮＤＳ　ロシア株式指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1326,ＳＰＤＲゴールド・シェア,ETF・ETN,-,-,-,-,-,-
20241031,1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20241031,132A,アイエヌホールディングス,PRO Market,5050,陸運業,12,運輸・物流,-,-
20241031,1330,上場インデックスファンド２２５,ETF・ETN,-,-,-,-,-,-
20241031,1332,ニッスイ,プライム（内国株式）,50,水産・農林業,1,食品,4,TOPIX Mid400
20241031,1333,マルハニチロ,プライム（内国株式）,50,水産・農林業,1,食品,4,TOPIX Mid400
20241031,133A,グローバルＸ　超短期米国債　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20241031,1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,ETF・ETN,-,-,-,-,-,-
20241031,1346,ＭＡＸＩＳ　日経２２５上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1348,ＭＡＸＩＳ　トピックス上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1349,ＡＢＦ汎アジア債券インデックス・ファンド,ETF・ETN,-,-,-,-,-,-
20241031,134A,アプライズ,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,1356,ＴＯＰＩＸベア２倍上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1358,上場インデックスファンド日経レバレッジ指数,ETF・ETN,-,-,-,-,-,-
20241031,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20241031,1360,日経平均ベア２倍上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20241031,1365,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,ETF・ETN,-,-,-,-,-,-
20241031,1366,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,ETF・ETN,-,-,-,-,-,-
20241031,1367,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,ETF・ETN,-,-,-,-,-,-
20241031,1368,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数,ETF・ETN,-,-,-,-,-,-
20241031,1369,Ｏｎｅ　ＥＴＦ　日経２２５,ETF・ETN,-,-,-,-,-,-
20241031,136A,三興商事,PRO Market,2050,建設業,3,建設・資材,-,-
20241031,1375,雪国まいたけ,プライム（内国株式）,50,水産・農林業,1,食品,7,TOPIX Small 2
20241031,1376,カネコ種苗,スタンダード（内国株式）,50,水産・農林業,1,食品,7,TOPIX Small 2
20241031,1377,サカタのタネ,プライム（内国株式）,50,水産・農林業,1,食品,6,TOPIX Small 1
20241031,1379,ホクト,プライム（内国株式）,50,水産・農林業,1,食品,7,TOPIX Small 2
20241031,137A,Ｃｏｃｏｌｉｖｅ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20241031,1380,秋川牧園,スタンダード（内国株式）,50,水産・農林業,1,食品,-,-
20241031,1381,アクシーズ,スタンダード（内国株式）,50,水産・農林業,1,食品,-,-
20241031,1382,ホーブ,スタンダード（内国株式）,50,水産・農林業,1,食品,-,-
20241031,1383,ベルグアース,スタンダード（内国株式）,50,水産・農林業,1,食品,-,-
20241031,1384,ホクリヨウ,スタンダード（内国株式）,50,水産・農林業,1,食品,7,TOPIX Small 2
20241031,138A,光フードサービス,グロース（内国株式）,6100,小売業,14,小売,-,-
20241031,1397,ＳＭＤＡＭ　日経２２５上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1398,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1399,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,ETF・ETN,-,-,-,-,-,-
20241031,139A,東日本地所,PRO Market,8050,不動産業,17,不動産,-,-
20241031,1401,エムビーエス,グロース（内国株式）,2050,建設業,3,建設・資材,-,-
20241031,1407,ウエストホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20241031,140A,ｉＦｒｅｅＥＴＦ　米国１０年国債先物インバース,ETF・ETN,-,-,-,-,-,-
20241031,1414,ショーボンドホールディングス,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20241031,1417,ミライト・ワン,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20241031,1418,インターライフホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20241031,1419,タマホーム,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
20241031,141A,トライアルホールディングス,グロース（内国株式）,6100,小売業,14,小売,-,-
20241031,1420,サンヨーホームズ,スタンダード（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20241031,1429,日本アクア,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20241031,142A,ジンジブ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,1430,ファーストコーポレーション,スタンダード（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20241031,1431,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,2050,建設業,3,建設・資材,-,-
20241031,1432,動力,PRO Market,2050,建設業,3,建設・資材,-,-
20241031,1433,ベステラ,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20241031,1434,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20241031,1435,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241031,1436,グリーンエナジー＆カンパニー,グロース（内国株式）,2050,建設業,3,建設・資材,-,-
20241031,1438,岐阜造園,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20241031,1439,安江工務店,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20241031,143A,イシン,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,1443,技研ホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20241031,1444,ニッソウ,グロース（内国株式）,2050,建設業,3,建設・資材,-,-
20241031,1445,ひかりホールディングス,PRO Market,2050,建設業,3,建設・資材,-,-
20241031,1446,キャンディル,スタンダード（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20241031,1447,ＳＡＡＦホールディングス,グロース（内国株式）,2050,建設業,3,建設・資材,-,-
20241031,144A,エネルギーパワー,PRO Market,2050,建設業,3,建設・資材,-,-
20241031,1450,田中建設工業,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20241031,1451,ＫＨＣ,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20241031,1452,横浜ライト工業,PRO Market,2050,建設業,3,建設・資材,-,-
20241031,1456,ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス,ETF・ETN,-,-,-,-,-,-
20241031,1457,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（－１倍）指数,ETF・ETN,-,-,-,-,-,-
20241031,1458,楽天ＥＴＦ‐日経レバレッジ指数連動型,ETF・ETN,-,-,-,-,-,-
20241031,1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型,ETF・ETN,-,-,-,-,-,-
20241031,145A,Ｌ　ｉｓ　Ｂ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20241031,1464,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００レバレッジ・インデックス,ETF・ETN,-,-,-,-,-,-
20241031,1465,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００インバース・インデックス,ETF・ETN,-,-,-,-,-,-
20241031,1466,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブルインバース・インデックス,ETF・ETN,-,-,-,-,-,-
20241031,1469,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,ETF・ETN,-,-,-,-,-,-
20241031,146A,コロンビア・ワークス,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241031,1472,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1473,Ｏｎｅ　ＥＴＦ　トピックス,ETF・ETN,-,-,-,-,-,-
20241031,1474,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,ETF・ETN,-,-,-,-,-,-
20241031,1475,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20241031,1476,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20241031,1477,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20241031,1478,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20241031,1479,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備投資指数,ETF・ETN,-,-,-,-,-,-
20241031,147A,ソラコム,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20241031,1480,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1481,上場インデックスファンド日本経済貢献株,ETF・ETN,-,-,-,-,-,-
20241031,1482,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20241031,1483,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20241031,1484,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,ETF・ETN,-,-,-,-,-,-
20241031,1485,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1486,上場インデックスファンド米国債券（為替ヘッジなし）,ETF・ETN,-,-,-,-,-,-
20241031,1487,上場インデックスファンド米国債券（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20241031,1488,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数,ETF・ETN,-,-,-,-,-,-
20241031,1489,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,148A,ハッチ・ワーク,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20241031,1490,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,ETF・ETN,-,-,-,-,-,-
20241031,1491,中外鉱業,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄,-,-
20241031,1493,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,ETF・ETN,-,-,-,-,-,-
20241031,1494,Ｏｎｅ　ＥＴＦ　高配当日本株,ETF・ETN,-,-,-,-,-,-
20241031,1495,上場インデックスファンドアジアリート,ETF・ETN,-,-,-,-,-,-
20241031,1496,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20241031,1497,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20241031,1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ,ETF・ETN,-,-,-,-,-,-
20241031,1499,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,ETF・ETN,-,-,-,-,-,-
20241031,149A,シンカ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20241031,150A,ＪＳＨ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,1514,住石ホールディングス,スタンダード（内国株式）,1050,鉱業,2,エネルギー資源,6,TOPIX Small 1
20241031,1515,日鉄鉱業,プライム（内国株式）,1050,鉱業,2,エネルギー資源,6,TOPIX Small 1
20241031,1518,三井松島ホールディングス,プライム（内国株式）,3800,その他製品,10,情報通信・サービスその他,6,TOPIX Small 1
20241031,151A,ダイブ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,152A,オプティ,PRO Market,6050,卸売業,13,商社・卸売,-,-
20241031,153A,カウリス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20241031,1540,純金上場信託（現物国内保管型）,ETF・ETN,-,-,-,-,-,-
20241031,1541,純プラチナ上場信託（現物国内保管型）,ETF・ETN,-,-,-,-,-,-
20241031,1542,純銀上場信託（現物国内保管型）,ETF・ETN,-,-,-,-,-,-
20241031,1543,純パラジウム上場信託（現物国内保管型）,ETF・ETN,-,-,-,-,-,-
20241031,1545,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジなし）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1546,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1547,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,ETF・ETN,-,-,-,-,-,-
20241031,154A,ＧＡＩＡ,PRO Market,7200,その他金融業,16,金融（除く銀行）,-,-
20241031,1550,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1551,東証スタンダードＴＯＰ２０ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20241031,1554,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,ETF・ETN,-,-,-,-,-,-
20241031,1555,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ－ＲＥＩＴ）,ETF・ETN,-,-,-,-,-,-
20241031,1557,ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20241031,1559,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,155A,情報戦略テクノロジー,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20241031,1560,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1563,東証グロース・コアＥＴＦ,ETF・ETN,-,-,-,-,-,-
20241031,1566,上場インデックスファンド新興国債券,ETF・ETN,-,-,-,-,-,-
20241031,1568,ＴＯＰＩＸブル２倍上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1569,ＴＯＰＩＸベア上場投信,ETF・ETN,-,-,-,-,-,-
20241031,156A,マテリアルグループ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,1570,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1571,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1572,中国Ｈ株ブル２倍上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1573,中国Ｈ株ベア上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1577,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1578,上場インデックスファンド日経２２５（ミニ）,ETF・ETN,-,-,-,-,-,-
20241031,1579,日経平均ブル２倍上場投信,ETF・ETN,-,-,-,-,-,-
20241031,157A,グリーンモンスター,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,1580,日経平均ベア上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1585,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ETF・ETN,-,-,-,-,-,-
20241031,1586,上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ETF・ETN,-,-,-,-,-,-
20241031,158A,エクセリ,PRO Market,6100,小売業,14,小売,-,-
20241031,1591,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1592,上場インデックスファンドＪＰＸ日経インデックス４００,ETF・ETN,-,-,-,-,-,-
20241031,1593,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1595,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,ETF・ETN,-,-,-,-,-,-
20241031,1596,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ETF・ETN,-,-,-,-,-,-
20241031,1597,ＭＡＸＩＳ　Ｊリート上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1599,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００,ETF・ETN,-,-,-,-,-,-
20241031,159A,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸプライム１５０指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1605,ＩＮＰＥＸ,プライム（内国株式）,1050,鉱業,2,エネルギー資源,4,TOPIX Mid400
20241031,160A,アズパートナーズ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,1615,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1617,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1618,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1619,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20241031,161A,三葉,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20241031,1620,ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1621,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1622,ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1623,ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1624,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1625,ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1626,ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービスその他（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1627,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1628,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1629,ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20241031,162A,ＡＩセレクトメガトレンド　日本株（ネットリターン）ＥＴＮ,ETF・ETN,-,-,-,-,-,-
20241031,1630,ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1631,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1632,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1633,ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20241031,163A,半導体フォーカス　日本株（ネットリターン）ＥＴＮ,ETF・ETN,-,-,-,-,-,-
20241031,164A,アップルパーク,PRO Market,8050,不動産業,17,不動産,-,-
20241031,1651,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ高配当４０指数,ETF・ETN,-,-,-,-,-,-
20241031,1652,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株女性活躍指数（ＷＩＮ）,ETF・ETN,-,-,-,-,-,-
20241031,1653,ｉＦｒｅｅＥＴＦ　ＭＳＣＩジャパンＥＳＧセレクト・リーダーズ指数,ETF・ETN,-,-,-,-,-,-
20241031,1654,ｉＦｒｅｅＥＴＦ　ＦＴＳＥ　Ｂｌｏｓｓｏｍ　Ｊａｐａｎ　Ｉｎｄｅｘ,ETF・ETN,-,-,-,-,-,-
20241031,1655,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20241031,1656,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20241031,1657,ｉシェアーズ・コア　ＭＳＣＩ　先進国株（除く日本）ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20241031,1658,ｉシェアーズ・コア　ＭＳＣＩ　新興国株　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20241031,1659,ｉシェアーズ　米国リート　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20241031,165A,ＳＢＩレオスひふみ,グロース（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
20241031,1660,ＭＡＸＩＳ高利回りＪリート上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1662,石油資源開発,プライム（内国株式）,1050,鉱業,2,エネルギー資源,6,TOPIX Small 1
20241031,1663,Ｋ＆Ｏエナジーグループ,プライム（内国株式）,1050,鉱業,2,エネルギー資源,6,TOPIX Small 1
20241031,166A,タスキホールディングス,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20241031,1671,ＷＴＩ原油価格連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1672,ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託,ETF・ETN,-,-,-,-,-,-
20241031,1673,ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託,ETF・ETN,-,-,-,-,-,-
20241031,1674,ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託,ETF・ETN,-,-,-,-,-,-
20241031,1675,ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資信託,ETF・ETN,-,-,-,-,-,-
20241031,1676,ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上場投資信託,ETF・ETN,-,-,-,-,-,-
20241031,1677,上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型,ETF・ETN,-,-,-,-,-,-
20241031,1678,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０　連動型上場投信,ETF・ETN,-,-,-,-,-,-
20241031,1679,Ｓｉｍｐｌｅ－Ｘ　ＮＹ　ダウ・ジョーンズ・インデックス上場投信,ETF・ETN,-,-,-,-,-,-
20241031,167A,リョーサン菱洋ホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20241031,1680,上場インデックスファンド海外先進国株式（ＭＳＣＩ－ＫＯＫＵＳＡＩ）,ETF・ETN,-,-,-,-,-,-
20241031,1681,上場インデックスファンド海外新興国株式（ＭＳＣＩ　エマージング）,ETF・ETN,-,-,-,-,-,-
20241031,1684,ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投資信託,ETF・ETN,-,-,-,-,-,-
20241031,1685,ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資信託,ETF・ETN,-,-,-,-,-,-
20241031,1686,ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投資信託,ETF・ETN,-,-,-,-,-,-
20241031,1687,ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託,ETF・ETN,-,-,-,-,-,-
20241031,1688,ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託,ETF・ETN,-,-,-,-,-,-
20241031,1689,ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投資信託,ETF・ETN,-,-,-,-,-,-
20241031,168A,イタミアート,グロース（内国株式）,3800,その他製品,10,情報通信・サービスその他,-,-
20241031,1690,ＷｉｓｄｏｍＴｒｅｅ　ＷＴＩ　原油上場投資信託,ETF・ETN,-,-,-,-,-,-
20241031,1691,ＷｉｓｄｏｍＴｒｅｅ　ガソリン上場投資信託,ETF・ETN,-,-,-,-,-,-
20241031,1692,ＷｉｓｄｏｍＴｒｅｅ　アルミニウム上場投資信託,ETF・ETN,-,-,-,-,-,-
20241031,1693,ＷｉｓｄｏｍＴｒｅｅ　銅上場投資信託,ETF・ETN,-,-,-,-,-,-
